playlist_name,playlist_id,title,video_id,date,length,nview,nlike,ndislike
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: Nova, The Dominion Ghost! (Gameplay)",yo3kA5-XB94,2015.8.7,1147,18149,298,9
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Murky is Annoying! (Gameplay),QjdJD_IcdQw,2015.8.5,1271,26905,378,36
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Azmodan In A Whole New World! (Gameplay),lrrM8pldBkw,2015.8.3,1184,13009,235,12
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: OWNING with Jaina! (Gameplay),VmmehgqAQIE,2015.7.30,957,16287,333,6
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Damage Support Malfurion Build! (Gameplay),ZtbVYnPANSo,2015.7.27,1164,14357,352,6
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Leoric Talent Build Guide! (Gameplay),iuhWcKjnasc,2015.7.23,1433,13576,191,9
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: Leoric, The Skeleton King Gameplay! (4K)",y9cQ_uD0ib0,2015.7.22,1267,17933,275,14
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Nazeebo Domination! (Gameplay),y2lwvFXa4DM,2015.7.20,1059,11192,194,5
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Full Damage Chen! (Gameplay),_VFxiZoz970,2015.7.15,1484,18560,228,22
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,Heroes of the Storm: Muradin the Mountain King! (Gameplay),06pBCCC61i8,2015.7.15,1283,7621,141,0
Heroes of the Storm,PLT0hfPWJS6_vjOfzicF0bzjNFj-1_Fubo,"Heroes of the Storm: ""Basic Attack"" Raynor Talent Build! (4K)",N2EAbXt021Y,2015.7.13,1097,16705,280,12
